# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.31713759656748963,0,3.0,0.9391976264488108,0.0,0.0,0.0
 0.08923873738969924,1.0119451453906476,3.000066118192645,0.31713759656748963,0.2677162121690977,2.9999999999999996,0.9391976264488108,0.0,17.446098935388655,0.0
 0.12591796891222937,1.0237811679744093,3.0002638410406055,0.9570470985835764,0.37775390673668807,3.0000000000000004,0.957925922541224,0.0,23.13803361759811,0.0
 0.15387306063602546,1.0355089473690129,3.0005922209489166,1.603872950671809,0.4616191819080763,2.999999999999999,0.9766154364020374,0.0,27.918532935144935,0.0
 0.17728474213687417,1.0471293631921865,3.001050310322615,2.2574927517203776,0.5318542264106225,3.000000000000002,0.9952348867745354,0.0,32.22068920369492,0.0
 0.1977771429523361,1.0586432950616578,3.0016371615667365,2.91777202943292,0.5933314288570083,3.0000000000000013,1.0137516803382909,0.0,36.22184355544067,0.0
 0.21618570389176384,1.0700516225951548,3.002351827086319,3.584564043861668,0.6485571116752915,2.9999999999999987,1.0321319889830807,0.0,40.014469207651636,0.0
 0.23300825827136068,1.0813552254104062,3.0031933592863975,4.257709628078091,0.699024774814082,2.999999999999997,1.0503408408827501,0.0,43.653048999827845,0.0
 0.24857022832229592,1.0925549831251389,3.004160810572009,4.93703706924542,0.7457106849668876,2.9999999999999964,1.0683422251445356,0.0,47.17205960639552,0.0
 0.26309842508707865,1.1036517753570814,3.005253233348189,5.622362033007194,0.7892952752612358,2.999999999999996,1.086099210394539,0.0,50.594267005919754,0.0
 0.2767585795289487,1.1146464817239619,3.006469680019974,6.313487534181269,0.8302757385868459,2.999999999999992,1.1035740768441558,0.0,53.93504411310149,0.0
 0.28967627401988283,1.125539981843508,3.0078092029924015,7.010203956389368,0.8690288220596482,2.9999999999999956,1.1207284616929212,0.0,57.204822057935345,0.0
 0.3019494555699591,1.1363331553334477,3.0092708546705063,7.712289123046217,0.905848366709877,3.0,1.1375235171807305,0.0,60.410577630850376,0.0
 0.3136563341765745,1.1470268818115092,3.0108536874593255,8.419508421926098,0.9409690025297232,2.999999999999995,1.1539200804845229,0.0,63.556785428449246,0.0
 0.3248605912557851,1.15762204089542,3.0125567537638953,9.13161498499467,0.9745817737673549,3.0,1.169878854718261,0.0,66.64605525441344,0.0
 0.33561494029144523,1.1681195122029087,3.014379105989252,9.848349925050522,1.0068448208743352,2.9999999999999947,1.1853605995603738,0.0,69.67957571873639,0.0
 0.3459636356964913,1.178520175351703,3.0163197965404316,10.569442630116571,1.0378909070894733,2.999999999999984,1.2003263303272558,0.0,72.65743391032161,0.0
 0.35594428663636113,1.1888249099595305,3.0183778778224712,11.294611116162152,1.0678328599090827,2.9999999999999942,1.2147375237750655,0.0,75.57885325808574,0.0
 0.3655891977537834,1.1990345956441195,3.020552402240406,12.023562438193087,1.0967675932613496,3.0000000000000115,1.2285563291525676,0.0,78.44237590743421,0.0
 0.3749263795089231,1.2091501120231982,3.022842422199274,12.755993159345794,1.1247791385267687,2.9999999999999942,1.2417457820574718,0.0,81.24600652902176,0.0
 0.3839803225757097,1.2191723387144946,3.0252469901041095,13.491589876863326,1.1519409677271284,2.999999999999994,1.2542700197327679,0.0,83.9873287729359,0.0
 0.39277260038167333,1.229102155335736,3.02776515835995,14.230029803615784,1.1783178011450193,2.999999999999994,1.2660944948705095,0.0,86.66360185470138,0.0
 0.40132234425802465,1.2389404415046508,3.030395979371832,14.970981402875564,1.2039670327740732,3.0,1.2771861864002252,0.0,89.27184246977608,0.0
 0.4096466226696723,1.248688076838967,3.0331385055447915,15.71410507391473,1.228939868009016,2.9999999999999867,1.2875138044318921,0.0,91.80889556998466,0.0
 0.4177607471953061,1.2583459409564126,3.0359917892838646,16.459053885130494,1.2532822415859175,3.0000000000000067,1.2970479873724738,0.0,94.271496513352,0.0
 0.42567852185197214,1.2679149134747154,3.0389548829940876,17.205474351069896,1.2770355655559156,2.999999999999993,1.30576148872264,0.0,96.65632632502475,0.0
 0.43341244808860613,1.2773958740116036,3.042026839080497,17.953007249171662,1.3002373442658175,2.999999999999993,1.3136293515779527,0.0,98.96006129071068,0.0
 0.44097389472343307,1.286789702184805,3.0452067099481295,18.701288471600574,1.3229216841702984,3.0000000000000147,1.320629068643626,0.0,101.17941773128855,0.0
 0.4483732398900016,1.2960972776120474,3.0484935480020208,19.449949907146802,1.345119719670004,2.9999999999999925,1.3267407258133994,0.0,103.3111925443425,0.0
 0.45561999043316437,1.3053194799110592,3.051886405647207,20.198620347832307,1.3668599712994922,2.9999999999999925,1.3319471276148216,0.0,105.35229989837525,0.0
 0.46272288298898584,1.314457188699568,3.0553843352887258,20.946926414519147,1.3881686489669567,3.000000000000008,1.3362339030252925,0.0,107.29980434026037,0.0
 0.4696899700743947,1.323511283595302,3.0589863893316123,21.69449349560508,1.4090699102231834,3.000000000000008,1.339589590512307,0.0,109.15095049767382,0.0
 0.4765286938220146,1.3324826442159892,3.0626916201809027,22.4409466928488,1.429586081466043,2.999999999999992,1.3420057009285684,0.0,110.90318944506012,0.0
 0.4832459494656123,1.3413721501793572,3.0664990802416336,23.185911768041613,1.4497378483968362,3.000000000000025,1.3434767581283793,0.0,112.55420182879404,0.0
 0.4898481402709973,1.3501806811031345,3.070407821918842,23.92901608446313,1.4695444208129913,3.0,1.3440003163768226,0.0,114.10191777494278,0.0
